"title","noise_denom","n","true_beta_range","noise_coef","sd","alpha","location"
"diff_hist_beta20324.png","1","100","-20,20","0.5","1","0.1","mean"
"diff_hist_beta20325.png","1","100","-20,20","0.5","1","0.5","median"
"diff_hist_beta20326.png","1","100","-20,20","0.5","1","0.5","mean"
"diff_hist_beta20327.png","1","100","-20,20","0.5","1","1","median"
"diff_hist_beta20328.png","1","100","-20,20","0.5","1","1","mean"
"diff_hist_beta20329.png","1","100","-20,20","0.5","2","0.01","median"
"diff_hist_beta20330.png","1","100","-20,20","0.5","2","0.01","mean"
"diff_hist_beta20331.png","1","100","-20,20","0.5","2","0.1","median"
"diff_hist_beta20332.png","1","100","-20,20","0.5","2","0.1","mean"
"diff_hist_beta20333.png","1","100","-20,20","0.5","2","0.5","median"
"diff_hist_beta20334.png","1","100","-20,20","0.5","2","0.5","mean"
"diff_hist_beta20335.png","1","100","-20,20","0.5","2","1","median"
"diff_hist_beta20336.png","1","100","-20,20","0.5","2","1","mean"
"diff_hist_beta20337.png","1","100","-20,20","0.5","3","0.01","median"
"diff_hist_beta20338.png","1","100","-20,20","0.5","3","0.01","mean"
"diff_hist_beta20339.png","1","100","-20,20","0.5","3","0.1","median"
"diff_hist_beta20340.png","1","100","-20,20","0.5","3","0.1","mean"
"diff_hist_beta20341.png","1","100","-20,20","0.5","3","0.5","median"
"diff_hist_beta20342.png","1","100","-20,20","0.5","3","0.5","mean"
"diff_hist_beta20343.png","1","100","-20,20","0.5","3","1","median"
"diff_hist_beta20344.png","1","100","-20,20","0.5","3","1","mean"
"diff_hist_beta20345.png","1","100","-20,20","0.5","4","0.01","median"
"diff_hist_beta20346.png","1","100","-20,20","0.5","4","0.01","mean"
"diff_hist_beta20347.png","1","100","-20,20","0.5","4","0.1","median"
"diff_hist_beta20348.png","1","100","-20,20","0.5","4","0.1","mean"
"diff_hist_beta20349.png","1","100","-20,20","0.5","4","0.5","median"
"diff_hist_beta20350.png","1","100","-20,20","0.5","4","0.5","mean"
"diff_hist_beta20351.png","1","100","-20,20","0.5","4","1","median"
"diff_hist_beta20352.png","1","100","-20,20","0.5","4","1","mean"
"diff_hist_beta20353.png","1","100","-20,20","0.5","5","0.01","median"
"diff_hist_beta20354.png","1","100","-20,20","0.5","5","0.01","mean"
"diff_hist_beta20355.png","1","100","-20,20","0.5","5","0.1","median"
"diff_hist_beta20356.png","1","100","-20,20","0.5","5","0.1","mean"
"diff_hist_beta20357.png","1","100","-20,20","0.5","5","0.5","median"
"diff_hist_beta20358.png","1","100","-20,20","0.5","5","0.5","mean"
"diff_hist_beta20359.png","1","100","-20,20","0.5","5","1","median"
