"Hetero_pwr","median","var"
2.37,9.16315912036225e-14,4.04772014461009e-27
2.38,-2.22060084970827e-29,6.80455079161388e-56
2.39,1.00518461062582e-29,8.34899446554746e-59
2.4,-1.96870914158103e-28,2.94427504429531e-56
2.41,-9.45075283192628e-30,8.16657414839651e-57
2.42,6.06860339757986e-13,4.30431949880658e-25
2.43,-5.93288087320429e-30,1.00774153229195e-56
2.44,8.5265128291212e-14,5.37364657507351e-26
2.45,-1.38322444661353e-28,1.58802078713157e-56
2.46,2.65345079242252e-13,3.15735729920758e-26
2.47,-4.54397089897085e-29,1.24960055581641e-57
2.48,-3.67495314691703e-30,2.27247513311557e-58
2.49,1.73145053850021e-13,1.16716496307391e-25
2.5,-9.60957222582217e-30,6.36479264743611e-58
2.51,1.70530256582424e-15,1.10328914362786e-26
2.52,-1.21644916362129e-13,4.08971570686527e-26
2.53,2.86490831058472e-14,6.11298064797384e-27
2.54,2.11230144486763e-13,3.6947762947807e-26
2.55,-2.20779838855378e-13,5.90038425943348e-26
2.56,9.25902191454553e-31,7.67141917718882e-58
2.57,-1.211367767939e-28,1.15304796013953e-56
2.58,5.28950682372002e-29,2.65650228238379e-56
2.59,-1.01612995707815e-29,8.85101023272232e-57
2.6,-2.13460986803585e-29,9.93595041154615e-58
2.61,6.91215973347425e-14,1.0203053433557e-25
2.62,1.59161572810262e-15,2.23925098994186e-26
2.63,4.71993937321132e-29,6.03574465424522e-58
2.64,-1.69620761880651e-13,4.81012978277176e-26
2.65,-4.24051904701628e-13,1.22714758948428e-25
2.66,-9.59708909364273e-29,1.54757448009345e-56
2.67,-4.36666511675488e-29,8.72980585952455e-58
2.68,-1.65214827305168e-29,6.92210512425313e-58
2.69,-4.56043292229671e-29,2.40244379643251e-57
2.7,-1.84172677109018e-13,6.39424482647895e-25
2.71,-3.06697395504726e-29,1.120703096305e-57
2.72,1.1891643225681e-13,7.11813653859438e-26
2.73,2.68410354409756e-30,7.50301374483784e-57
2.74,-1.08229869510978e-13,7.21104428094401e-26
2.75,1.24373400467448e-13,1.08251311355913e-25
2.76,-2.3920795875883e-29,3.48101962404771e-56
2.77,-8.230927051045e-14,6.66006664419916e-26
2.78,-8.28217175782493e-31,2.21692597174209e-57
2.79,-1.06638253782876e-13,3.62514542728844e-25
2.8,-1.67030469564625e-29,1.48172866671684e-57
2.81,-1.52667279086135e-28,1.79320314608715e-56
2.82,-5.50122062320994e-29,3.0468131196429e-57
2.83,-1.29148247651756e-13,1.74574025653884e-25
2.84,1.18655617547617e-28,2.24181105513015e-57
2.85,9.84528014669195e-14,1.76754534607207e-25
2.86,-1.14377061963206e-28,3.36630854319942e-56
2.87,-6.24795783520635e-30,7.01367391553137e-59
2.88,-2.18278728425503e-13,1.8456312165973e-25
2.89,-1.69042380417301e-29,3.04739112255299e-57
2.9,-4.39285940956324e-13,1.81922602166805e-25
2.91,-1.97465305072969e-29,3.14639673479219e-58
2.92,-8.64019966684282e-13,4.3874106814468e-25
2.93,-8.99445551908957e-29,5.99240343199956e-57
2.94,-2.4056134861894e-13,4.04411623708642e-25
2.95,-6.88123574700276e-29,3.29724007180865e-57
2.96,-3.29691829392686e-14,5.40780193069695e-26
2.97,-4.47926140623167e-14,3.71667712281076e-26
2.98,2.87855073111132e-13,9.89079068229666e-26
2.99,6.58019416732714e-13,5.0077775106676e-25
3,-2.77361916553897e-29,1.09419796010396e-55
3.01,4.06089384341612e-13,2.37545530309269e-25
3.02,7.83984432928264e-13,7.88641779289096e-25
3.03,3.00133251585066e-14,3.12913566036564e-25
3.04,3.84716258849949e-13,3.29192215528849e-25
3.05,-7.18046067049727e-13,7.60890035339666e-25
3.06,-6.48272308711916e-29,2.34316168581775e-57
3.07,-5.45405571437053e-29,5.14385622472237e-57
3.08,-5.21358783627768e-29,3.20245475406777e-57
3.09,4.7202775022015e-13,1.76066925197861e-25
3.1,9.97715687844902e-13,3.31899803720088e-25
3.11,-1.84854798135348e-12,1.4011510136971e-24
3.12,-7.68523022998124e-14,1.22843152035249e-25
3.13,-5.96572226202429e-29,9.83535330328358e-57
3.14,1.1040842995286e-30,5.69363612311615e-59
3.15,-2.2938295157802e-28,3.24591317813435e-56
3.16,-1.79350777155446e-29,1.62770105499505e-57
3.17,4.91581886308268e-13,2.16718629460874e-25
3.18,-4.21096046920866e-13,9.65152517107906e-25
3.19,2.41016095969826e-13,3.23151064628762e-25
3.2,7.46492566508176e-30,7.78258350401844e-56
3.21,3.72892827726901e-14,2.52392759897699e-25
3.22,9.17167553733399e-30,6.79637922511557e-57
3.23,3.05135472444817e-13,3.3550060621142e-25
3.24,-1.40931486734464e-28,5.82734365284048e-56
3.25,-2.69470142197305e-29,3.54608191666921e-56
3.26,-2.61138666246552e-13,9.37822100170307e-26
3.27,2.95450437946047e-29,1.02973690409336e-56
3.28,5.95719029661268e-14,2.37191142619407e-25
3.29,-1.25055521493778e-13,1.87828580659485e-25
3.3,-1.7098323166571e-28,7.56743272335021e-56
3.31,-1.57671631847147e-28,3.48413724219799e-56
3.32,1.03682396002114e-12,4.16819539899093e-25
3.33,2.93084667646326e-13,1.61848723408829e-25
3.34,-8.230927051045e-14,2.91405007090787e-25
3.35,-1.53704604599625e-13,3.60547245995473e-25
3.36,-1.53242936156876e-29,4.25344573361905e-58
3.37,2.04231733849523e-28,4.18423417468774e-56
3.38,-6.94853952154517e-13,8.36954426317368e-25
3.39,3.66310756226043e-29,1.726231068449e-56
